+-----------+----------------------------------------------------------------------+--------+------+
|  IMDb_id  |                                Title                                 | Rating | Year |
+-----------+----------------------------------------------------------------------+--------+------+
| tt0111161 | The Shawshank Redemption                                             | 9.3    | 1994 |
| tt0765429 | American Gangster                                                    | 7.8    | 2007 |
| tt0110912 | Pulp Fiction                                                         | 8.9    | 1994 |
| tt0102926 | The Silence of the Lambs                                             | 8.6    | 1991 |
| tt0054047 | The Magnificent Seven                                                | 7.7    | 1960 |
| tt0167260 | The Lord of the Rings: The Return of the King                        | 9.0    | 2003 |
| tt0167261 | The Lord of the Rings: The Two Towers                                | 8.8    | 2002 |
| tt0120737 | The Lord of the Rings: The Fellowship of the Ring                    | 8.8    | 2001 |
| tt0325980 | Pirates of the Caribbean: The Curse of the Black Pearl               | 8.1    | 2003 |
| tt0449088 | Pirates of the Caribbean: At World's End                             | 7.1    | 2007 |
| tt0209163 | The Mummy Returns                                                    | 6.4    | 2001 |
| tt0120616 | The Mummy                                                            | 7.1    | 1999 |
| tt0383574 | Pirates of the Caribbean: Dead Man's Chest                           | 7.3    | 2006 |
| tt0080684 | The Empire Strikes Back                                              | 8.7    | 1980 |
| tt1375666 | Inception                                                            | 8.8    | 2010 |
| tt0076759 | Star Wars                                                            | 8.6    | 1977 |
| tt0109830 | Forrest Gump                                                         | 8.8    | 1994 |
| tt0133093 | The Matrix                                                           | 8.7    | 1999 |
| tt0064116 | C'era una volta il West                                              | 8.5    | 1968 |
| tt0114369 | Se7en                                                                | 8.6    | 1995 |
| tt0082971 | Raiders of the Lost Ark                                              | 8.4    | 1981 |
| tt0103064 | Terminator 2: Judgment Day                                           | 8.6    | 1991 |
| tt0078748 | Alien                                                                | 8.5    | 1979 |
| tt1454468 | Gravity                                                              | 7.7    | 2013 |
| tt0118799 | La vita è bella                                                      | 8.6    | 1997 |
| tt0407887 | The Departed                                                         | 8.5    | 2006 |
| tt1853728 | Django Unchained                                                     | 8.4    | 2012 |
| tt1345836 | The Dark Knight Rises                                                | 8.4    | 2012 |
| tt0172495 | Gladiator                                                            | 8.5    | 2000 |
| tt0090605 | Aliens                                                               | 8.4    | 1986 |
| tt0910970 | WALL·E                                                               | 8.4    | 2008 |
| tt0405094 | Das Leben der Anderen                                                | 8.4    | 2006 |
| tt0435761 | Toy Story 3                                                          | 8.3    | 2010 |
| tt0482571 | The Prestige                                                         | 8.5    | 2006 |
| tt0082096 | Das Boot                                                             | 8.4    | 1981 |
| tt0110357 | The Lion King                                                        | 8.5    | 1994 |
| tt0086190 | Star Wars: Episode VI - Return of the Jedi                           | 8.3    | 1983 |
| tt0112573 | Braveheart                                                           | 8.4    | 1995 |
| tt0338013 | Eternal Sunshine of the Spotless Mind                                | 8.3    | 2004 |
| tt0119488 | L.A. Confidential                                                    | 8.2    | 1997 |
| tt0086879 | Amadeus                                                              | 8.4    | 1984 |
| tt0071853 | Monty Python and the Holy Grail                                      | 8.2    | 1975 |
| tt0097576 | Indiana Jones and the Last Crusade                                   | 8.2    | 1989 |
| tt0050212 | The Bridge on the River Kwai                                         | 8.2    | 1957 |
| tt0095016 | Die Hard                                                             | 8.2    | 1988 |
| tt0372784 | Batman Begins                                                        | 8.2    | 2005 |
| tt0361748 | Inglourious Basterds                                                 | 8.3    | 2009 |
| tt0114709 | Toy Story                                                            | 8.3    | 1995 |
| tt0457430 | El laberinto del fauno                                               | 8.2    | 2006 |
| tt0363163 | Der Untergang                                                        | 8.2    | 2004 |
| tt1049413 | Up                                                                   | 8.3    | 2009 |
| tt0113277 | Heat                                                                 | 8.3    | 1995 |
| tt0083658 | Blade Runner                                                         | 8.1    | 1982 |
| tt1205489 | Gran Torino                                                          | 8.1    | 2008 |
| tt0116282 | Fargo                                                                | 8.1    | 1996 |
| tt0119217 | Good Will Hunting                                                    | 8.3    | 1997 |
| tt0477348 | No Country for Old Men                                               | 8.2    | 2007 |
| tt0073195 | Jaws                                                                 | 8.1    | 1975 |
| tt0266697 | Kill Bill: Vol. 1                                                    | 8.2    | 2003 |
| tt0117951 | Trainspotting                                                        | 8.1    | 1996 |
| tt0395169 | Hotel Rwanda                                                         | 8.1    | 2004 |
| tt0434409 | V for Vendetta                                                       | 8.2    | 2006 |
| tt0266543 | Finding Nemo                                                         | 8.2    | 2003 |
| tt0892769 | How to Train Your Dragon                                             | 8.1    | 2010 |
| tt0758758 | Into the Wild                                                        | 8.1    | 2007 |
| tt0848228 | The Avengers                                                         | 8.0    | 2012 |
| tt0405159 | Million Dollar Baby                                                  | 8.1    | 2004 |
| tt0079470 | Life of Brian                                                        | 8.0    | 1979 |
| tt0088247 | The Terminator                                                       | 8.1    | 1984 |
| tt0469494 | There Will Be Blood                                                  | 8.2    | 2007 |
| tt1504320 | The King's Speech                                                    | 8.0    | 2010 |
| tt0440963 | The Bourne Ultimatum                                                 | 8.0    | 2007 |
| tt0198781 | Monsters, Inc.                                                       | 8.1    | 2001 |
| tt0454876 | Life of Pi                                                           | 7.9    | 2012 |
| tt0107290 | Jurassic Park                                                        | 8.2    | 1993 |
| tt1201607 | Harry Potter and the Deathly Hallows: Part 2                         | 8.1    | 2011 |
| tt0796366 | Star Trek                                                            | 7.9    | 2009 |
| tt1130884 | Shutter Island                                                       | 8.2    | 2010 |
| tt0382932 | Ratatouille                                                          | 8.1    | 2007 |
| tt1220719 | Ip Man                                                               | 8.0    | 2008 |
| tt1136608 | District 9                                                           | 7.9    | 2009 |
| tt1408101 | Star Trek Into Darkness                                              | 7.7    | 2013 |
| tt1318514 | Rise of the Planet of the Apes                                       | 7.6    | 2011 |
| tt1228705 | Iron Man 2                                                           | 6.9    | 2010 |
| tt0242653 | The Matrix Revolutions                                               | 6.7    | 2003 |
| tt0234215 | The Matrix Reloaded                                                  | 7.2    | 2003 |
| tt1399103 | Transformers: Dark of the Moon                                       | 6.2    | 2011 |
| tt1139328 | The Ghost Writer                                                     | 7.2    | 2010 |
| tt0454848 | Inside Man                                                           | 7.6    | 2006 |
| tt0481369 | The Number 23                                                        | 6.4    | 2007 |
| tt1401152 | Unknown                                                              | 6.8    | 2011 |
| tt0399295 | Lord of War                                                          | 7.6    | 2005 |
| tt0373926 | The Interpreter                                                      | 6.4    | 2005 |
| tt0059113 | Doctor Zhivago                                                       | 7.9    | 1965 |
| tt0350258 | Ray                                                                  | 7.7    | 2004 |
| tt1188729 | Pandorum                                                             | 6.7    | 2009 |
| tt0413267 | Shrek the Third                                                      | 6.1    | 2007 |
| tt0120363 | Toy Story 2                                                          | 7.9    | 1999 |
| tt0399201 | The Island                                                           | 6.8    | 2005 |
| tt0120815 | Saving Private Ryan                                                  | 8.6    | 1998 |
| tt0892791 | Shrek Forever After                                                  | 6.3    | 2010 |
| tt0351283 | Madagascar                                                           | 6.9    | 2005 |
| tt1270798 | X: First Class                                                       | 7.7    | 2011 |
| tt1210166 | Moneyball                                                            | 7.6    | 2011 |
| tt0126029 | Shrek                                                                | 7.9    | 2001 |
| tt1232829 | 21 Jump Street                                                       | 7.2    | 2012 |
| tt1300854 | Iron Man Three                                                       | 7.1    | 2013 |
| tt0120647 | Deep Impact                                                          | 6.2    | 1998 |
| tt0373889 | Harry Potter and the Order of the Phoenix                            | 7.5    | 2007 |
| tt0469641 | World Trade Center                                                   | 6.0    | 2006 |
| tt0120917 | The Emperor's New Groove                                             | 7.4    | 2000 |
| tt0330373 | Harry Potter and the Goblet of Fire                                  | 7.7    | 2005 |
| tt0825232 | The Bucket List                                                      | 7.4    | 2007 |
| tt0117913 | A Time to Kill                                                       | 7.4    | 1996 |
| tt0450259 | Blood Diamond                                                        | 8.0    | 2006 |
| tt0795368 | Death at a Funeral                                                   | 7.3    | 2007 |
| tt0896798 | Cleaner                                                              | 6.1    | 2007 |
| tt0349903 | Ocean's Twelve                                                       | 6.5    | 2004 |
| tt0418279 | Transformers                                                         | 7.0    | 2007 |
| tt0319061 | Big Fish                                                             | 8.0    | 2003 |
| tt0448134 | Sunshine                                                             | 7.2    | 2007 |
| tt0046889 | The Dam Busters                                                      | 7.4    | 1955 |
| tt0480249 | I Am Legend                                                          | 7.2    | 2007 |
| tt1764651 | The Expendables 2                                                    | 6.6    | 2012 |
| tt2051879 | Europa Report                                                        | 6.4    | 2013 |
| tt1790885 | Zero Dark Thirty                                                     | 7.4    | 2012 |
| tt0980970 | The Chronicles of Narnia: The Voyage of the Dawn Treader             | 6.3    | 2010 |
| tt0066765 | And Now for Something Completely Different                           | 7.5    | 1971 |
| tt0379786 | Serenity                                                             | 7.8    | 2005 |
| tt1358522 | White Collar                                                         | 8.3    | 2009 |
| tt1245526 | RED                                                                  | 7.0    | 2010 |
| tt1077258 | Planet Terror                                                        | 7.1    | 2007 |
| tt1446714 | Prometheus                                                           | 7.0    | 2012 |
| tt0795441 | Oorlogswinter                                                        | 7.0    | 2008 |
| tt1418646 | Beneath Hill 60                                                      | 7.0    | 2010 |
| tt0120812 | Rush Hour                                                            | 7.0    | 1998 |
| tt0160127 | Charlie's Angels                                                     | 5.6    | 2000 |
| tt1250777 | Kick-Ass                                                             | 7.6    | 2010 |
| tt0266915 | Rush Hour 2                                                          | 6.6    | 2001 |
| tt0077402 | Dawn of the Dead                                                     | 7.8    | 1978 |
| tt0816711 | World War Z                                                          | 7.0    | 2013 |
| tt1650554 | Kick-Ass 2                                                           | 6.5    | 2013 |
| tt1535108 | Elysium                                                              | 6.6    | 2013 |
| tt1650062 | Super 8                                                              | 7.0    | 2011 |
| tt1663662 | Pacific Rim                                                          | 6.9    | 2013 |
| tt1483013 | Oblivion                                                             | 7.0    | 2013 |
| tt0945513 | Source Code                                                          | 7.5    | 2011 |
| tt0367594 | Charlie and the Chocolate Factory                                    | 6.7    | 2005 |
| tt0339291 | A Series of Unfortunate Events                                       | 6.8    | 2004 |
| tt0250223 | Astérix & Obélix: Mission Cléopâtre                                  | 6.6    | 2002 |
| tt0164912 | Stuart Little                                                        | 6.0    | 1999 |
| tt0133385 | Astérix & Obélix contre César                                        | 5.9    | 1999 |
| tt0243585 | Stuart Little 2                                                      | 5.5    | 2002 |
| tt0298148 | Shrek 2                                                              | 7.3    | 2004 |
| tt0463872 | Astérix aux jeux olympiques                                          | 5.1    | 2008 |
| tt1033643 | What Happens in Vegas                                                | 6.1    | 2008 |
| tt0343660 | 50 First Dates                                                       | 6.8    | 2004 |
| tt0251127 | How to Lose a Guy in 10 Days                                         | 6.4    | 2003 |
| tt0386588 | Hitch                                                                | 6.6    | 2005 |
| tt1068680 | Yes Man                                                              | 6.8    | 2008 |
| tt1564367 | Just Go with It                                                      | 6.4    | 2011 |
| tt0815236 | She's Out of My League                                               | 6.4    | 2010 |
| tt0758752 | Love & Other Drugs                                                   | 6.7    | 2010 |
| tt0317740 | The Italian Job                                                      | 7.0    | 2003 |
| tt1111422 | The Taking of Pelham 123                                             | 6.4    | 2009 |
| tt0337978 | Live Free or Die Hard                                                | 7.1    | 2007 |
| tt1179034 | From Paris with Love                                                 | 6.4    | 2010 |
| tt0463985 | The Fast and the Furious: Tokyo Drift                                | 6.0    | 2006 |
| tt0936501 | Taken                                                                | 7.8    | 2008 |
| tt0111257 | Speed                                                                | 7.3    | 1994 |
| tt0425123 | Just Like Heaven                                                     | 6.7    | 2005 |
| tt0397078 | Just My Luck                                                         | 5.4    | 2006 |
| tt1058017 | The Invention of Lying                                               | 6.3    | 2009 |
| tt1453405 | Monsters University                                                  | 7.3    | 2013 |
| tt0293564 | Rush Hour 3                                                          | 6.2    | 2007 |
| tt1155056 | I Love You, Man                                                      | 7.0    | 2009 |
| tt0133240 | Treasure Planet                                                      | 7.1    | 2002 |
| tt0985699 | Valkyrie                                                             | 7.1    | 2008 |
| tt0265086 | Black Hawk Down                                                      | 7.7    | 2001 |
| tt0371746 | Iron Man                                                             | 7.9    | 2008 |
| tt1675434 | Intouchables                                                         | 8.5    | 2011 |
| tt0372183 | The Bourne Supremacy                                                 | 7.7    | 2004 |
| tt0453467 | Deja Vu                                                              | 7.1    | 2006 |
| tt0433035 | Real Steel                                                           | 7.0    | 2011 |
| tt0268380 | Ice Age                                                              | 7.5    | 2002 |
| tt1063669 | Die Welle                                                            | 7.6    | 2008 |
| tt0275847 | Lilo & Stitch                                                        | 7.3    | 2002 |
| tt0496806 | Ocean's Thirteen                                                     | 6.9    | 2007 |
| tt0238380 | Equilibrium                                                          | 7.4    | 2002 |
| tt1272878 | 2 Guns                                                               | 6.7    | 2013 |
| tt0363771 | The Chronicles of Narnia: The Lion, the Witch and the Wardrobe       | 6.9    | 2005 |
| tt0087469 | Indiana Jones and the Temple of Doom                                 | 7.5    | 1984 |
| tt0305357 | Charlie's Angels: Full Throttle                                      | 4.9    | 2003 |
| tt0129167 | The Iron Giant                                                       | 8.1    | 1999 |
| tt0378194 | Kill Bill: Vol. 2                                                    | 8.0    | 2004 |
| tt1229238 | Mission: Impossible - Ghost Protocol                                 | 7.4    | 2011 |
| tt0172156 | Bad Boys II                                                          | 6.6    | 2003 |
| tt0468569 | The Dark Knight                                                      | 9.0    | 2008 |
| tt0449059 | Little Miss Sunshine                                                 | 7.8    | 2006 |
| tt0465234 | National Treasure: Book of Secrets                                   | 6.5    | 2007 |
| tt0963178 | The International                                                    | 6.5    | 2009 |
| tt0055928 | Dr. No                                                               | 7.2    | 1962 |
| tt0103644 | Alien³                                                               | 6.4    | 1992 |
| tt1637688 | In Time                                                              | 6.7    | 2011 |
| tt0899106 | Love Happens                                                         | 5.6    | 2009 |
| tt0289043 | 28 Days Later...                                                     | 7.5    | 2002 |
| tt0056197 | The Longest Day                                                      | 7.7    | 1962 |
| tt0465502 | Igor                                                                 | 5.9    | 2008 |
| tt0212338 | Meet the Parents                                                     | 7.0    | 2000 |
| tt0829482 | Superbad                                                             | 7.6    | 2007 |
| tt0406816 | The Guardian                                                         | 6.9    | 2006 |
| tt0145487 | Spider-Man                                                           | 7.4    | 2002 |
| tt0478134 | In the Valley of Elah                                                | 7.2    | 2007 |
| tt1659337 | The Perks of Being a Wallflower                                      | 8.0    | 2012 |
| tt2106476 | Jagten                                                               | 8.3    | 2012 |
| tt0387131 | The Constant Gardener                                                | 7.4    | 2005 |
| tt0116209 | The English Patient                                                  | 7.4    | 1996 |
| tt0955308 | Robin Hood                                                           | 6.6    | 2010 |
| tt0311113 | Master and Commander: The Far Side of the World                      | 7.4    | 2003 |
| tt0069113 | The Poseidon Adventure                                               | 7.1    | 1972 |
| tt0770828 | Man of Steel                                                         | 7.1    | 2013 |
| tt0113247 | La haine                                                             | 8.1    | 1995 |
| tt0058150 | Goldfinger                                                           | 7.7    | 1964 |
| tt0290002 | Meet the Fockers                                                     | 6.3    | 2004 |
| tt1276104 | Looper                                                               | 7.4    | 2012 |
| tt0986263 | Surrogates                                                           | 6.3    | 2009 |
| tt1142988 | The Ugly Truth                                                       | 6.4    | 2009 |
| tt1386932 | Yip Man 2                                                            | 7.5    | 2010 |
| tt0418689 | Flags of Our Fathers                                                 | 7.1    | 2006 |
| tt0215750 | Enemy at the Gates                                                   | 7.6    | 2001 |
| tt0120794 | The Prince of Egypt                                                  | 7.1    | 1998 |
| tt0099348 | Dances with Wolves                                                   | 8.0    | 1990 |
| tt1045658 | Silver Linings Playbook                                              | 7.7    | 2012 |
| tt0443543 | The Illusionist                                                      | 7.6    | 2006 |
| tt1907668 | Flight                                                               | 7.3    | 2012 |
| tt0318462 | Diarios de motocicleta                                               | 7.8    | 2004 |
| tt0113189 | GoldenEye                                                            | 7.2    | 1995 |
| tt1211956 | Escape Plan                                                          | 6.7    | 2013 |
| tt0368891 | National Treasure                                                    | 6.9    | 2004 |
| tt0480025 | This Is England                                                      | 7.7    | 2006 |
| tt1014759 | Alice in Wonderland                                                  | 6.4    | 2010 |
